sample_id,grain_mill_id,longitude,latitude,village,walking_distance_min,flour_type,source,elevation_m,af_ppb,af_log10ppb,fum_ppm,fum_log10ppm
6_4,6,36.65309281,-6.123876677,Kibaigwa,180,sembe,homegrown,1381.078297,34.92,1.543074235,0.708,-0.149966742
6_5,6,36.65309281,-6.123876677,Kibaigwa,120,sembe,homegrown,1237.44456,89.84,1.953469743,0.161,-0.793174124
60_1,60,36.6410442,-6.024837,Manyata,120,sembe,homegrown,1145.33519,1.102,0.042181595,2.148,0.332034277
60_2,60,36.6410442,-6.024837,Manyata,420,kiwerege,homegrown,1161.010388,8.798,0.944383958,2.279,0.357744325
60_3,60,36.6410442,-6.024837,Manyata,49,sembe,homegrown,1406.426404,0.902,-0.044793462,0.556,-0.254925208
61_1,61,36.63482116,-6.020961807,Manyata,120,sembe,homegrown,1145.33519,8.38,0.923244019,0.994,-0.002613616
61_2,61,36.63482116,-6.020961807,Manyata,60,sembe,homegrown,1161.010388,9.888,0.995108458,0.104,-0.982966661
61_3,61,36.63482116,-6.020961807,Manyata,60,sembe,homegrown,1406.426404,64.34,1.808481057,1.037,0.015778756
62_1,62,36.63641204,-6.022155077,Manyata,120,sembe,homegrown,1145.33519,27.77,1.44357588,0.015,-1.823908741
62_2,62,36.63641204,-6.022155077,Manyata,180,kiwerege,homegrown,1161.010388,38.022,1.580034958,0.111,-0.954677021
63_1,63,36.89014845,-5.967133674,Kiteto,180,sembe,homegrown,1145.33519,40.04,1.602494069,0.519,-0.284832642
63_2,63,36.89014845,-5.967133674,Kiteto,20,sembe,homegrown,1161.010388,7.788,0.891425943,1.848,0.266701967
63_3,63,36.89014845,-5.967133674,Kiteto,60,sembe,homegrown,1406.426404,14.244,1.153631965,1.031,0.013258665
63_4,63,36.89014845,-5.967133674,Kiteto,60,sembe,homegrown,1381.078297,11.344,1.054766218,3.797,0.579440597
63_6,63,36.89014845,-5.967133674,Kiteto,90,dona,homegrown,1189.378237,83.26,1.920436407,1.476,0.169086357
63_7,63,36.89014845,-5.967133674,Kiteto,NA,kiwerege,homegrown,NA,87.6,1.942504106,1.406,0.147985321
63_8,63,36.89014845,-5.967133674,Kiteto,60,dona,homegrown,1286.168975,2.558,0.40790054,2.627,0.419460073
64_1,64,36.8905472,-5.9662205,Kiteto,30,sembe,homegrown,1145.33519,9.158,0.961800639,3.13,0.495544338
64_2,64,36.8905472,-5.9662205,Kiteto,23,sembe,homegrown,1161.010388,102.54,2.010893313,1.106,0.043755127
64_3,64,36.8905472,-5.9662205,Kiteto,2,sembe,homegrown,1406.426404,23.63,1.373463722,1.827,0.261738547
64_4,64,36.8905472,-5.9662205,Kiteto,5,sembe,homegrown,1381.078297,315.86,2.499494631,1.31,0.117271296
64_5,64,36.8905472,-5.9662205,Kiteto,10,sembe,homegrown,1237.44456,12.512,1.097326736,4.131,0.616055195
65_1,65,36.78725058,-6.04778617,Lenjulu,60,sembe,homegrown,1145.33519,139.42,2.144325078,0.572,-0.242603971
65_2,65,36.78725058,-6.04778617,Lenjulu,10,sembe,homegrown,1161.010388,111.58,2.047586357,1.084,0.035029282
66_1,66,36.78746963,-6.048146629,Lenjulu,60,sembe,homegrown,1145.33519,4097.2,3.612487164,1.187,0.074450719
66_2,66,36.78746963,-6.048146629,Lenjulu,60,sembe,homegrown,1161.010388,244.04,2.387461016,2.208,0.343999069
66_3,66,36.78746963,-6.048146629,Lenjulu,30,dona,homegrown,1406.426404,165.02,2.217536583,1.286,0.109240969
66_4,66,36.78746963,-6.048146629,Lenjulu,60,sembe,homegrown,1381.078297,4615.2,3.664190526,0.921,-0.03574037
66_5,66,36.78746963,-6.048146629,Lenjulu,240,sembe,homegrown,1237.44456,281.34,2.449231483,1.322,0.121231455
66_6,66,36.78746963,-6.048146629,Lenjulu,30,sembe,homegrown,1189.378237,75.96,1.880584956,2.836,0.452706227
67_1,67,36.7907675,-6.0453118,Lenjulu,25,sembe,homegrown,1145.33519,191.34,2.28180577,1.361,0.133858125
68_1,68,36.7899711,-6.0477649,Lenjulu,30,sembe,homegrown,1145.33519,24.016,1.380500675,1.976,0.29578694
68_2,68,36.7899711,-6.0477649,Lenjulu,60,sembe,homegrown,1161.010388,16.31,1.212453961,0.775,-0.110698297
68_3,68,36.7899711,-6.0477649,Lenjulu,45,sembe,homegrown,1406.426404,38.404,1.584376461,0.332,-0.478861916
68_4,68,36.7899711,-6.0477649,Lenjulu,60,sembe,homegrown,1381.078297,4.334,0.636888907,0.974,-0.011441043
69_1,69,36.54428807,-5.751119756,Makawa,120,sembe,homegrown,1145.33519,30.12,1.478854968,1.605,0.205475037
7_1,7,36.652712,-6.128026,Kibaigwa,120,sembe,homegrown,1145.33519,11.064,1.043912167,0.553,-0.257274869
7_2,7,36.652712,-6.128026,Kibaigwa,60,sembe,homegrown,1161.010388,37.14,1.569841899,0.208,-0.681936665
7_3,7,36.652712,-6.128026,Kibaigwa,10,dona,homegrown,1406.426404,16.311,1.212480588,0.207,-0.684029655
70_1,70,36.5436495,-5.751140565,Makawa,180,sembe,homegrown,1145.33519,13.612,1.13392194,0.162,-0.790484985
70_2,70,36.5436495,-5.751140565,Makawa,60,sembe,homegrown,1161.010388,8.728,0.940914738,0.028,-1.552841969
70_3,70,36.5436495,-5.751140565,Makawa,NA,sembe,homegrown,1406.426404,148.44,2.171550946,0.295,-0.530177984
70_4,70,36.5436495,-5.751140565,Makawa,60,sembe,homegrown,1381.078297,22.868,1.359228184,1.075,0.031408464
70_5,70,36.5436495,-5.751140565,Makawa,90,sembe,homegrown,1237.44456,2.936,0.467756051,0.578,-0.238072162
71_1,71,36.5398929,-5.7549426,Makawa,120,dona,homegrown,1145.33519,407.18,2.609786438,0.828,-0.081969663
71_2,71,36.5398929,-5.7549426,Makawa,120,sembe,homegrown,1161.010388,54.2,1.733999287,0.18,-0.744727495
72_1,72,36.5393134,-5.755073,Makawa,560,dona,homegrown,1145.33519,98.66,1.994141111,1.8,0.255272505
72_2,72,36.5393134,-5.755073,Makawa,30,dona,homegrown,1161.010388,628.8,2.798512533,1.681,0.225567713
72_3,72,36.5393134,-5.755073,Makawa,180,dona,homegrown,1406.426404,259.14,2.413534454,0.905,-0.043351421
72_4,72,36.5393134,-5.755073,Makawa,50,sembe,homegrown,1381.078297,87.78,1.943395577,0.295,-0.530177984
73_10,73,36.4599514,-5.7773606,Mlanje,30,sembe,homegrown,1269.09167,0.82,-0.086186148,0.234,-0.630784143
73_3,73,36.4599514,-5.7773606,Mlanje,60,sembe,homegrown,1406.426404,12.26,1.08849047,0.226,-0.645891561
73_5,73,36.4599514,-5.7773606,Mlanje,5,sembe,homegrown,1237.44456,19.684,1.294113356,1.135,0.054995862
73_6,73,36.4599514,-5.7773606,Mlanje,30,sembe,homegrown,1189.378237,6.506,0.813314059,0.273,-0.563837353
73_7,73,36.4599514,-5.7773606,Mlanje,10,sembe,homegrown,NA,23.044,1.362557867,0.935,-0.029188389
73_8,73,36.4599514,-5.7773606,Mlanje,70,dona,homegrown,1286.168975,4.59,0.661812686,0.443,-0.353596274
73_9,73,36.4599514,-5.7773606,Mlanje,30,sembe,homegrown,1284.232,4.182,0.621384028,0.188,-0.725842151
74_1,74,36.45657054,-5.778173582,Mlanje,60,sembe,homegrown,1145.33519,13.914,1.143451999,0.292,-0.534617149
74_2,74,36.45657054,-5.778173582,Mlanje,60,dona,homegrown,1161.010388,24.834,1.395046677,0.983,-0.007446482
75_1,75,36.4450994,-5.9959068,Chamae,50,dona,homegrown,1145.33519,38.686,1.587553827,0.379,-0.42136079
75_2,75,36.4450994,-5.9959068,Chamae,30,sembe,homegrown,1161.010388,40.458,1.60700441,0.259,-0.586700236
75_3,75,36.4450994,-5.9959068,Chamae,120,sembe,homegrown,1406.426404,1.83,0.26245109,0.566,-0.247183569
75_4,75,36.4450994,-5.9959068,Chamae,40,sembe,homegrown,1381.078297,153.76,2.18684337,0.352,-0.453457337
75_5,75,36.4450994,-5.9959068,Chamae,60,dona,homegrown,1237.44456,159.54,2.202869588,3.186,0.503245771
76_1,76,36.44823538,-5.985670427,Chamae,60,dona,homegrown,1145.33519,173.86,2.240199675,5.569,0.745777218
76_2,76,36.44823538,-5.985670427,Chamae,60,dona,homegrown,1161.010388,97.14,1.987398099,0.601,-0.221125528
76_3,76,36.44823538,-5.985670427,Chamae,120,dona,homegrown,1406.426404,76.4,1.883093359,0.955,-0.019996628
76_4,76,36.44823538,-5.985670427,Chamae,180,dona,homegrown,1381.078297,285.06,2.454936281,2.358,0.372543801
77_1,77,36.35213442,-5.962729178,Msunjilile,120,dona,homegrown,1145.33519,387.38,2.588137195,1.219,0.086003706
78_1,78,36.35259427,-5.963008244,Msunjilile,180,dona,homegrown,1145.33519,69.8,1.843855423,3.489,0.542700969
78_2,78,36.35259427,-5.963008244,Msunjilile,30,dona,homegrown,1161.010388,16.136,1.207795885,0.565,-0.247951552
78_3,78,36.35259427,-5.963008244,Msunjilile,30,sembe,homegrown,1406.426404,10.488,1.020692679,0.146,-0.835647144
79_1,79,36.3536599,-5.9627259,Msunjilile,60,sembe,homegrown,1145.33519,59.38,1.773640193,0.198,-0.70333481
79_2,79,36.3536599,-5.9627259,Msunjilile,30,dona,homegrown,1161.010388,588,2.769377326,0.415,-0.381951903
79_3,79,36.3536599,-5.9627259,Msunjilile,60,sembe,homegrown,1406.426404,34.064,1.532295644,0.059,-1.229147988
79_4,79,36.3536599,-5.9627259,Msunjilile,30,dona,homegrown,1381.078297,89.08,1.949780208,0.884,-0.053547735
8_1,8,36.83666629,-6.258757649,Pembamoto,NA,NA,homegrown,1145.33519,58.92,1.770262738,2.088,0.319730494
80_1,80,36.7331852,-6.0842712,Pandambili A,60,sembe,homegrown,1145.33519,26.01,1.415140352,0.076,-1.119186408
80_10,80,36.7331852,-6.0842712,Pandambili A,1200,sembe,homegrown,1269.09167,35.112,1.545455568,1.151,0.061075324
80_11,80,36.7331852,-6.0842712,Pandambili A,60,dona,homegrown,1233.175663,19.122,1.281533314,0.575,-0.240332155
80_12,80,36.7331852,-6.0842712,Pandambili A,90,sembe,homegrown,1251.34688,67.44,1.828917562,2.763,0.441380885
80_4,80,36.7331852,-6.0842712,Pandambili A,360,sembe,homegrown,1381.078297,251.14,2.39991589,0.484,-0.315154638
